Abelmoschus esculentus,MALVACEAE
Abelmoschus ficulneus,MALVACEAE
Abelmoschus manihot,MALVACEAE
Abelmoschus moschatus,MALVACEAE
Abies spectabilis,PINACEAE
Abroma agusta,STERCULIACEAE
Abrus precatorius,FABACEAE
Abutilon hirtum,MALVACEAE
Abutilon indicum,MALVACEAE
Abutilon pannosum,MALVACEAE
Abutilon theophrastii,MALVACEAE
Acacia catechu,MIMOSACEAE
Acacia farnesiana,MIMOSACEAE
Acacia jacquemontii,MIMOSACEAE
Acacia leucophloea,MIMOSACEAE
Acacia modesta,MIMOSACEAE
Acacia nilotica,MIMOSACEAE
Acacia pennata,MIMOSACEAE
Acacia rugata,MIMOSACEAE
Acacia senegal,MIMOSACEAE
Acacia torta,MIMOSACEAE
Acalypha fruticosa,EUPHORBIACEAE
Acalypha indica,EUPHORBIACEAE
Acalypha racemosa,EUPHORBIACEAE
Acampe papillosa,ORCHIDACEAE
Acanthus illicifolius,ACANTHACEAE
Achillea millefolium,ASTERACEAE
Achyranthes aspera,AMARANTHACEAE
Achyranthes bidentata,AMARANTHACEAE
Aconitum balfourii,RANUNCULACEAE
Aconitum bisma,RANUNCULACEAE
Aconitum chasmanthum,RANUNCULACEAE
Aconitum falconeri,RANUNCULACEAE
Aconitum heterophyllum,RANUNCULACEAE
Aconitum laciniatum,RANUNCULACEAE
Aconitum novoluridum,RANUNCULACEAE
Aconitum spicatum,RANUNCULACEAE
Aconitum violaceum,RANUNCULACEAE
Acorus calamus,ARACEAE
Acronychia pedunculata,RUTACEAE
Actaea spicata,RANUNCULACEAE
Actiniopteris radiata(Swartz),ACTINIOPTERIDACEAE
Actinodaphne hookeri,LAURACEAE
Adansonia digitata,BOMBACACEAE
Adenanthera pavonia,MIMOSACEAE
Adenia wightiana,PASSIFLORACEAE
Adenostemma lavenia,ASTERACEAE
Adiantum capillus-veneris,ADIANTACEAE
Adiantum caudatum,ADIANTACEAE
Adiantum philippense,ADIANTACEAE
Adiantum venustum,ADIANTACEAE
Adonis aestivalis,RANUNCULACEAE
Aegle marmelos,RUTACEAE
Aerva javanica,AMARANTHACEAE
Aerva lanata,AMARANTHACEAE
Aesculus indica,HIPPOCASTANACEAE
Aganosma caryophyllata,APOCYNACEAE
Agave americana,AMARYLLIDACEAE
Agave americana,AMARYLLIDACEAE
Agave angustifolia,AMARYLLIDACEAE
Agave sisalana,AMARYLLIDACEAE
Ageratum conyzoides,ASTERACEAE
Aglaia elaeagnoidea,MELIACEAE
Agropyron repens,POACEAE
Ailanthus altissima,SIMAROUBACEAE
Ailanthus excelsa,SIMAROUBACEAE
Ailanthus triphysa,SIMAROUBACEAE
Ajuga bracteosa,LAMIACEAE
